year,ONI_index
1950,-0.858333333
1951,0.441666667
1952,0.166666667
1953,0.708333333
1954,-0.383333333
1955,-0.95
1956,-0.575
1957,0.958333333
1958,0.825
1959,0.125
1960,0.058333333
1961,-0.033333333
1962,-0.208333333
1963,0.658333333
1964,-0.35
1965,0.9
1966,0.375
1967,-0.3
1968,0.141666667
1969,0.741666667
1970,-0.325
1971,-0.941666667
1972,0.925
1973,-0.625
1974,-0.883333333
1975,-1.058333333
1976,-0.05
1977,0.5
1978,-0.1
1979,0.241666667
1980,0.258333333
1981,-0.283333333
1982,1.008333333
1983,0.475
1984,-0.491666667
1985,-0.6
1986,0.241666667
1987,1.275
1988,-0.816666667
1989,-0.608333333
1990,0.308333333
1991,0.641666667
1992,0.641666667
1993,0.325
1994,0.475
1995,-0.158333333
1996,-0.466666667
1997,1.166666667
1998,-0.066666667
1999,-1.233333333
2000,-0.825
2001,-0.3
2002,0.633333333
2003,0.258333333
2004,0.458333333
2005,0.033333333
2006,0.058333333
2007,-0.608333333
2008,-0.775
2009,0.3
2010,-0.475
2011,-0.85
2012,-0.15
2013,-0.325
2014,0.108333333
2015,1.458333333
2016,0.325
2017,-0.208333333
2018,0.008333333
2019,0.475
2020,-0.366666667